,date,state,fips,cases,deaths
35394,2021-12-04,Washington,53,783626,9466
35450,2021-12-05,Washington,53,783660,9466
35506,2021-12-06,Washington,53,786830,9496
35562,2021-12-07,Washington,53,788853,9517
35618,2021-12-08,Washington,53,789906,9548
35674,2021-12-09,Washington,53,791852,9584
35730,2021-12-10,Washington,53,793102,9602
35786,2021-12-11,Washington,53,793102,9602
35842,2021-12-12,Washington,53,793126,9602
35898,2021-12-13,Washington,53,796530,9625
35954,2021-12-14,Washington,53,797549,9652
36010,2021-12-15,Washington,53,799111,9681
36066,2021-12-16,Washington,53,801122,9702
36122,2021-12-17,Washington,53,803098,9725
36178,2021-12-18,Washington,53,803098,9725
36234,2021-12-19,Washington,53,803098,9725
36290,2021-12-20,Washington,53,808383,9741
36346,2021-12-21,Washington,53,810347,9767
36402,2021-12-22,Washington,53,812338,9799
36458,2021-12-23,Washington,53,817678,9828
36514,2021-12-24,Washington,53,817678,9828
36570,2021-12-25,Washington,53,817678,9828
36626,2021-12-26,Washington,53,817678,9828
36682,2021-12-27,Washington,53,836463,9847
36738,2021-12-28,Washington,53,840928,9872
36794,2021-12-29,Washington,53,845967,9889
36850,2021-12-30,Washington,53,852824,9904
36906,2021-12-31,Washington,53,852824,9904
36962,2022-01-01,Washington,53,852824,9904
37018,2022-01-02,Washington,53,852824,9904
37074,2022-01-03,Washington,53,883675,9908
37130,2022-01-04,Washington,53,891639,9956
37186,2022-01-05,Washington,53,902887,9962
37242,2022-01-06,Washington,53,919085,10027
37298,2022-01-07,Washington,53,935391,10067
37354,2022-01-08,Washington,53,935391,10067
37410,2022-01-09,Washington,53,935391,10067
37466,2022-01-10,Washington,53,981826,10087
37522,2022-01-11,Washington,53,996084,10100
37578,2022-01-12,Washington,53,1013375,10175
37634,2022-01-13,Washington,53,1030529,10226
37690,2022-01-14,Washington,53,1046371,10286
37746,2022-01-15,Washington,53,1046371,10286
37802,2022-01-16,Washington,53,1046371,10286
37858,2022-01-17,Washington,53,1046371,10286
37914,2022-01-18,Washington,53,1110011,10310
37970,2022-01-19,Washington,53,1123865,10336
