,STNAME,CTYNAME,POPESTIMATE2019
1497,Mississippi,Tunica County,9632
1498,Mississippi,Union County,28815
1499,Mississippi,Walthall County,14286
1500,Mississippi,Warren County,45381
1501,Mississippi,Washington County,43909
1502,Mississippi,Wayne County,20183
1503,Mississippi,Webster County,9689
1504,Mississippi,Wilkinson County,8630
1505,Mississippi,Winston County,17955
1506,Mississippi,Yalobusha County,12108
1507,Mississippi,Yazoo County,29690
1508,Missouri,Missouri,6137428
1509,Missouri,Adair County,25343
1510,Missouri,Andrew County,17712
1511,Missouri,Atchison County,5143
1512,Missouri,Audrain County,25388
1513,Missouri,Barry County,35789
1514,Missouri,Barton County,11754
1515,Missouri,Bates County,16172
1516,Missouri,Benton County,19443
1517,Missouri,Bollinger County,12133
1518,Missouri,Boone County,180463
1519,Missouri,Buchanan County,87364
1520,Missouri,Butler County,42478
1521,Missouri,Caldwell County,9020
1522,Missouri,Callaway County,44743
1523,Missouri,Camden County,46305
1524,Missouri,Cape Girardeau County,78871
1525,Missouri,Carroll County,8679
1526,Missouri,Carter County,5982
1527,Missouri,Cass County,105780
1528,Missouri,Cedar County,14349
1529,Missouri,Chariton County,7426
1530,Missouri,Christian County,88595
1531,Missouri,Clark County,6797
1532,Missouri,Clay County,249948
1533,Missouri,Clinton County,20387
1534,Missouri,Cole County,76745
1535,Missouri,Cooper County,17709
1536,Missouri,Crawford County,23920
1537,Missouri,Dade County,7561
1538,Missouri,Dallas County,16878
1539,Missouri,Daviess County,8278
1540,Missouri,DeKalb County,12547
1541,Missouri,Dent County,15573
1542,Missouri,Douglas County,13185
1543,Missouri,Dunklin County,29131
1544,Missouri,Franklin County,103967
1545,Missouri,Gasconade County,14706
1546,Missouri,Gentry County,6571
1547,Missouri,Greene County,293086
1548,Missouri,Grundy County,9850
1549,Missouri,Harrison County,8352
1550,Missouri,Henry County,21824
1551,Missouri,Hickory County,9544
1552,Missouri,Holt County,4403
1553,Missouri,Howard County,10001
1554,Missouri,Howell County,40117
1555,Missouri,Iron County,10125
1556,Missouri,Jackson County,703011
1557,Missouri,Jasper County,121328
1558,Missouri,Jefferson County,225081
1559,Missouri,Johnson County,54062
1560,Missouri,Knox County,3959
1561,Missouri,Laclede County,35723
1562,Missouri,Lafayette County,32708
1563,Missouri,Lawrence County,38355
1564,Missouri,Lewis County,9776
1565,Missouri,Lincoln County,59013
1566,Missouri,Linn County,11920
1567,Missouri,Livingston County,15227
1568,Missouri,McDonald County,22837
1569,Missouri,Macon County,15117
1570,Missouri,Madison County,12088
1571,Missouri,Maries County,8697
1572,Missouri,Marion County,28530
1573,Missouri,Mercer County,3617
1574,Missouri,Miller County,25619
1575,Missouri,Mississippi County,13180
1576,Missouri,Moniteau County,16132
1577,Missouri,Monroe County,8644
1578,Missouri,Montgomery County,11551
1579,Missouri,Morgan County,20627
1580,Missouri,New Madrid County,17076
1581,Missouri,Newton County,58236
1582,Missouri,Nodaway County,22092
1583,Missouri,Oregon County,10529
1584,Missouri,Osage County,13615
1585,Missouri,Ozark County,9174
1586,Missouri,Pemiscot County,15805
1587,Missouri,Perry County,19136
1588,Missouri,Pettis County,42339
1589,Missouri,Phelps County,44573
1590,Missouri,Pike County,18302
1591,Missouri,Platte County,104418
1592,Missouri,Polk County,32149
1593,Missouri,Pulaski County,52607
1594,Missouri,Putnam County,4696
1595,Missouri,Ralls County,10309
1596,Missouri,Randolph County,24748
1597,Missouri,Ray County,23018
1598,Missouri,Reynolds County,6270
1599,Missouri,Ripley County,13288
1600,Missouri,St. Charles County,402022
1601,Missouri,St. Clair County,9397
1602,Missouri,Ste. Genevieve County,17894
1603,Missouri,St. Francois County,67215
1604,Missouri,St. Louis County,994205
1605,Missouri,Saline County,22761
1606,Missouri,Schuyler County,4660
1607,Missouri,Scotland County,4902
1608,Missouri,Scott County,38280
1609,Missouri,Shannon County,8166
1610,Missouri,Shelby County,5930
1611,Missouri,Stoddard County,29025
1612,Missouri,Stone County,31952
1613,Missouri,Sullivan County,6089
